Dataset,#TrainingRelease,%Training,%Defective in training,%Defective in testing,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Classifier,Precision,Recall,AUC,Kappa
AVRO,3,9.08%,80.33%,10.13%,No sampling,No Feature Selection,No cost sensitive,0.0,4.0,138.0,16.0,NaiveBayes,0.0,0.0,0.687,-0.042,
AVRO,3,9.08%,80.33%,10.13%,No sampling,No Feature Selection,No cost sensitive,6.0,52.0,90.0,10.0,IBk,0.103,0.375,0.493,0.004,
AVRO,3,9.08%,80.33%,10.13%,No sampling,No Feature Selection,Sensitive Threshold,11.0,86.0,56.0,5.0,RandomForest,0.113,0.688,0.541,0.025,
AVRO,3,9.08%,80.33%,10.13%,No sampling,No Feature Selection,Sensitive Threshold,1.0,5.0,137.0,15.0,NaiveBayes,0.167,0.063,0.514,0.038,
AVRO,3,9.08%,80.33%,10.13%,No sampling,No Feature Selection,Sensitive Threshold,6.0,52.0,90.0,10.0,IBk,0.103,0.375,0.504,0.004,
AVRO,3,9.08%,80.33%,10.13%,No sampling,No Feature Selection,Sensitive Learning,15.0,112.0,30.0,1.0,RandomForest,0.118,0.938,0.678,0.036,
AVRO,3,9.08%,80.33%,10.13%,No sampling,No Feature Selection,Sensitive Learning,1.0,4.0,138.0,15.0,NaiveBayes,0.2,0.063,0.687,0.049,
AVRO,3,9.08%,80.33%,10.13%,No sampling,No Feature Selection,Sensitive Learning,6.0,52.0,90.0,10.0,IBk,0.103,0.375,0.493,0.004,
AVRO,3,9.08%,80.33%,10.13%,No sampling,Best first,No cost sensitive,6.0,46.0,96.0,10.0,RandomForest,0.115,0.375,0.598,0.026,
AVRO,3,9.08%,80.33%,10.13%,No sampling,Best first,No cost sensitive,1.0,5.0,137.0,15.0,NaiveBayes,0.167,0.063,0.688,0.038,
AVRO,3,9.08%,80.33%,10.13%,No sampling,Best first,No cost sensitive,8.0,52.0,90.0,8.0,IBk,0.133,0.5,0.554,0.06,
AVRO,3,9.08%,80.33%,10.13%,No sampling,Best first,Sensitive Threshold,11.0,86.0,56.0,5.0,RandomForest,0.113,0.688,0.541,0.025,
AVRO,3,9.08%,80.33%,10.13%,No sampling,Best first,Sensitive Threshold,7.0,25.0,117.0,9.0,NaiveBayes,0.219,0.438,0.631,0.181,
AVRO,3,9.08%,80.33%,10.13%,No sampling,Best first,Sensitive Threshold,8.0,52.0,90.0,8.0,IBk,0.133,0.5,0.567,0.06,
AVRO,3,9.08%,80.33%,10.13%,No sampling,Best first,Sensitive Learning,15.0,112.0,30.0,1.0,RandomForest,0.118,0.938,0.652,0.036,
AVRO,3,9.08%,80.33%,10.13%,No sampling,Best first,Sensitive Learning,7.0,25.0,117.0,9.0,NaiveBayes,0.219,0.438,0.688,0.181,
AVRO,3,9.08%,80.33%,10.13%,No sampling,Best first,Sensitive Learning,8.0,52.0,90.0,8.0,IBk,0.133,0.5,0.554,0.06,
AVRO,3,9.08%,80.33%,10.13%,oversampling,No Feature Selection,No cost sensitive,6.0,36.0,106.0,10.0,RandomForest,0.143,0.375,0.576,0.071,
AVRO,3,9.08%,80.33%,10.13%,oversampling,No Feature Selection,No cost sensitive,0.0,2.0,140.0,16.0,NaiveBayes,0.0,0.0,0.682,-0.023,
